id	latitude	longitude	scientific_name	additional_species	date	verbatim_environment	environment	identification_support	issues	initial_duplicated_form	source	media	note
143132	43.605	1.297	NA	NA	2014-12-18	NA	garden	NA	no picture	NA	citizen	Agiir	NA
143212	46.524	6.618	Halyomorpha halys	NA	2015-02-11	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
143474	46.593	4.301	Pentatomidae	NA	2015-06-09	NA	habitation	picture	stage of development preventing identification	NA	citizen	Agiir	NA
143520	44.901	5.021	NA	NA	2015-07-11	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
143565	43.079	5.872	Rhaphigaster nebulosa	NA	2015-07-26	NA	garden	picture	no issues	NA	citizen	Agiir	NA
143590	43.601	6.609	NA	NA	2015-08-04	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
143591	43.597	6.609	NA	NA	2015-08-04	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
143603	48.757	7.711	Halyomorpha halys	NA	2015-08-13	NA	crop	picture	no issues	NA	citizen	Agiir	NA
143613	48.581	7.767	Halyomorpha halys	NA	2012-08-15	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143614	48.604	7.747	Halyomorpha halys	NA	2012-09-08	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143616	48.841	2.359	Halyomorpha halys	NA	2015-02-10	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143617	43.664	7.137	Halyomorpha halys	NA	2015-06-09	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143680	43.679	-1.076	Halyomorpha halys	NA	2015-09-16	NA	crop	picture	no issues	NA	citizen	Agiir	NA
143693	43.749	-0.564	NA	NA	2015-09-02	NA	garden	NA	no picture	NA	citizen	Agiir	NA
143694	43.749	-0.563	Halyomorpha halys	NA	2015-09-02	NA	garden	picture	no issues	NA	citizen	Agiir	NA
143696	48.843	2.36	Halyomorpha halys	NA	2014-09-09	NA	garden	picture	no issues	NA	citizen	Agiir	NA
143720	48.617	6.17	Rhaphigaster nebulosa	NA	2015-10-02	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
143724	47.397	8.462	Pentatomidae	NA	2015-10-04	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
143725	48.778	2.685	Pentatomidae	NA	2015-10-02	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
143739	49.344	6.121	Pentatomidae	NA	2015-10-13	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
143741	48.88	2.276	Erthesina fullo	NA	2015-10-14	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
143748	48.521	2.265	Halyomorpha halys	NA	2013-10-10	NA	garden	specimen	no picture	NA	citizen	Agiir	NA
143749	43.273	6.517	Halyomorpha halys	NA	2015-07-27	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143751	43.731	7.423	Halyomorpha halys	NA	2015-08-05	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143752	43.273	6.516	Halyomorpha halys	NA	2015-08-19	NA	garden	specimen	no picture	NA	citizen	Agiir	NA
143753	43.273	6.517	Halyomorpha halys	NA	2015-08-20	NA	garden	specimen	no picture	NA	citizen	Agiir	NA
143754	43.6	7.089	Halyomorpha halys	NA	2015-08-06	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143755	43.6	7.089	Halyomorpha halys	NA	2015-09-01	NA	habitation	specimen	no picture	NA	citizen	Agiir	NA
143756	47.701	-2.81	Pentatomidae	NA	2015-10-19	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
143759	48.585	7.665	Pentatomidae	NA	2015-10-20	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
143764	46.355	0.462	Rhaphigaster nebulosa	NA	2015-10-22	NA	garden	picture	no issues	NA	citizen	Agiir	NA
143770	50.076	4.724	Pentatomidae	NA	2015-11-01	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
143876	49.2	6.151	Rhaphigaster nebulosa	NA	2016-02-04	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
143900	43.608	7.118	Halyomorpha halys	NA	2016-02-20	NA	garden	picture	no issues	NA	citizen	Agiir	NA
143932	44.147	21.412	Pentatomidae	NA	2016-03-11	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144008	43.599	1.233	Rhaphigaster nebulosa	NA	2016-03-27	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144014	49.027	7.045	Rhaphigaster nebulosa	NA	2016-04-03	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144037	48.979	2.195	Rhaphigaster nebulosa	NA	2016-04-13	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144043	43.516	2.803	Pentatomidae	NA	2016-04-11	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
144046	48.919	1.982	NA	NA	2016-04-16	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144055	43.668	7.145	NA	NA	2016-04-24	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144101	50.613	3.193	Rhaphigaster nebulosa	NA	2016-05-23	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144142	45.567	5.497	Pentatomidae	NA	2016-06-11	NA	garden	picture	stage of development preventing identification	NA	citizen	Agiir	NA
144231	48.92	1.983	Pentatomidae	NA	2016-07-09	NA	garden	picture	stage of development preventing identification	NA	citizen	Agiir	NA
144232	48.917	1.983	NA	NA	2016-05-08	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144271	48.926	2.364	Pentatomidae	NA	2016-08-15	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144443	43.587	1.461	Halyomorpha halys	NA	2016-09-09	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144444	42.838	3.042	Mantidae	NA	2016-09-10	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144531	47.712	7.321	NA	NA	2016-06-23	NA	crop	NA	no picture	NA	citizen	Agiir	NA
144532	47.682	7.254	Halyomorpha halys	NA	2016-06-23	NA	crop	picture	no issues	NA	citizen	Agiir	NA
144533	47.734	7.307	Halyomorpha halys	NA	2016-09-11	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144534	43.68	7.126	Halyomorpha halys	NA	2016-09-22	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144550	47.733	7.307	Halyomorpha halys	NA	2016-09-26	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144561	48.875	2.394	Coreidae	NA	2016-09-28	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144562	43.626	7.128	NA	NA	2016-09-28	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144569	47.592	7.56	Halyomorpha halys	NA	2016-10-01	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144580	43.738	7.418	NA	NA	2016-10-08	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144589	47.565	-1.056	Pentatomidae	NA	2016-10-10	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144605	49.03	2.226	Pentatoma rufipes	NA	2016-10-12	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144609	50.207	3.085	Rhaphigaster nebulosa	NA	2016-10-14	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144610	43.703	7.251	Halyomorpha halys	NA	2016-10-15	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144611	48.594	7.761	Halyomorpha halys	NA	2016-10-15	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144612	43.665	7.212	Pentatomidae	NA	2016-10-15	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144613	43.738	7.418	Pentatomidae	NA	2016-10-16	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144614	48.312	7.348	Rhaphigaster nebulosa	NA	2016-10-16	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144616	49.134	6.154	NA	NA	2016-10-16	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144618	43.482	-1.508	NA	NA	2016-10-16	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144620	47.652	7.46	Halyomorpha halys	NA	2016-10-17	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144624	43.636	0.328	Nezara viridula	NA	2016-10-17	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144628	49.133	6.153	Pentatomidae	NA	2016-10-17	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144629	45.766	4.773	NA	NA	2016-10-17	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144630	47.733	7.307	Halyomorpha halys	NA	2016-10-14	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144632	43.538	0.987	Pentatomidae	NA	2016-10-18	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144633	43.728	7.264	NA	NA	2016-10-18	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144635	48.635	2.343	Rhaphigaster nebulosa	Leptoglossus occidentalis	2016-10-19	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144637	43.542	0.97	Nezara viridula	NA	2016-10-21	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144640	43.541	0.975	Nezara viridula	NA	2016-10-21	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144641	43.669	1.728	Dolycoris baccarum	NA	2016-10-22	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144642	44.836	-0.224	Pentatomidae	NA	2016-10-24	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
144654	47.617	5.017	Pentatomidae	NA	2016-10-30	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
144655	43.649	3.697	Leptoglossus occidentalis	NA	2016-10-26	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144657	44.032	4.381	NA	NA	2016-09-15	NA	garden	NA	no picture	NA	citizen	Agiir	NA
144658	43.941	3.001	Pentatomidae	NA	2016-10-30	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144659	47.741	7.372	Halyomorpha halys	NA	2016-10-30	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144662	44.096	1.165	NA	NA	2016-09-01	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144663	47.74	7.347	Halyomorpha halys	NA	2016-11-01	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144664	45.93	5.231	Pentatomidae	NA	2016-11-01	NA	habitation	picture	stage of development preventing identification	NA	citizen	Agiir	NA
144673	47.421	1.67	Nezara viridula	NA	2016-11-06	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144676	48.299	1.25	NA	NA	2016-11-07	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144677	42.911	7.315	NA	NA	2016-04-11	NA	habitation	NA	uncertain location, no picture	NA	citizen	Agiir	NA
144682	47.466	4.803	NA	NA	2016-10-02	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144683	43.559	0.761	Nezara viridula	NA	2016-11-12	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144685	47.427	1.643	Leptoglossus occidentalis	NA	2016-11-12	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144694	45.779	0.426	Pentatomidae	NA	2016-11-16	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144695	43.665	7.049	Halyomorpha halys	NA	2016-11-15	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144696	43.665	7.049	Halyomorpha halys	NA	2016-11-16	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144699	43.665	7.049	Halyomorpha halys	NA	2016-11-17	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144705	43.621	1.436	NA	NA	2016-11-20	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144706	45.769	6.346	Leptoglossus occidentalis	NA	2016-11-20	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144717	48.9	1.68	NA	NA	2016-10-27	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144721	41.987	8.734	Rhaphigaster nebulosa	NA	2016-12-04	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144732	50.825	4.411	Pentatomidae	NA	2017-01-01	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144735	48.237	-4.506	Pentatomidae	NA	2017-01-21	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144736	43.579	7.119	NA	NA	2017-01-23	NA	habitation	picture	poor picture definition	NA	citizen	Agiir	NA
144743	48.488	7.717	Rhaphigaster nebulosa	NA	2017-02-12	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144751	48.692	6.194	Rhaphigaster nebulosa	NA	2017-02-26	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144753	47.741	7.373	NA	NA	2017-03-03	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144762	48.579	7.757	Halyomorpha halys	NA	2017-03-11	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144771	43.599	1.435	Halyomorpha halys	NA	2017-03-19	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144778	47.082	0.721	NA	NA	2017-03-27	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
144789	47.583	3.709	Rhaphigaster nebulosa	NA	2017-03-30	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
144913	50.568	3.001	Dolycoris baccarum	NA	2017-06-24	NA	garden	picture	no issues	NA	citizen	Agiir	NA
144935	46.196	6.157	Halyomorpha halys	NA	2017-07-07	NA	garden	picture	no issues	NA	citizen	Agiir	NA
146448	48.523	7.722	Halyomorpha halys	NA	2017-07-13	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
146778	43.607	2.249	NA	NA	2017-07-26	NA	garden	NA	no picture	NA	citizen	Agiir	NA
146779	43.607	2.249	NA	NA	2017-07-26	NA	garden	NA	no picture	NA	citizen	Agiir	NA
146797	48.607	7.731	Halyomorpha halys	NA	2017-07-26	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147157	47.597	7.553	Pentatomidae	NA	2017-08-03	NA	garden	picture	poor picture definition	NA	citizen	Agiir	NA
147167	48.638	4.711	Graphosoma italicum	NA	2017-08-03	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147175	46.388	6.221	Pentatomidae	NA	2017-08-03	NA	habitation	picture	stage of development preventing identification	NA	citizen	Agiir	NA
147290	47.75	7.371	NA	NA	2017-08-04	NA	garden	NA	no picture	NA	citizen	Agiir	NA
147355	43.624	1.438	Halyomorpha halys	NA	2017-08-05	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
147381	43.411	5.529	NA	NA	2017-08-05	NA	crop	NA	no picture	NA	citizen	Agiir	NA
147497	43.604	-0.899	Halyomorpha halys	NA	2017-07-26	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
147498	43.662	-0.964	Halyomorpha halys	NA	2017-08-07	NA	crop	picture	no issues	NA	citizen	Agiir	NA
147499	43.526	-0.916	Halyomorpha halys	NA	2016-06-06	NA	crop	specimen	no picture	NA	citizen	Agiir	NA
147603	47.739	7.347	Halyomorpha halys	NA	2017-08-13	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147648	48.62	7.732	Halyomorpha halys	NA	2017-08-15	NA	habitation	picture	no issues	NA	citizen	Agiir	NA
147747	43.717	7.279	Halyomorpha halys	NA	2017-08-18	NA	crop	picture	screenshot	NA	citizen	Agiir	NA
147776	48.586	7.781	Pentatomidae	NA	2017-08-19	NA	garden	picture	stage of development preventing identification	NA	citizen	Agiir	NA
147778	48.586	7.78	Halyomorpha halys	NA	2017-08-19	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147802	48.861	2.645	NA	NA	2017-08-20	NA	garden	NA	no picture	NA	citizen	Agiir	NA
147844	43.538	6.944	Halyomorpha halys	NA	2017-08-22	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147857	49.758	2.483	Pentatomidae	NA	2017-08-22	NA	crop	picture	poor picture definition	NA	citizen	Agiir	NA
147861	48.853	2.317	Halyomorpha halys	NA	2017-08-22	NA	garden	picture	no issues	NA	citizen	Agiir	NA
147906	48.85	2.34	NA	NA	2017-06-13	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
147907	42.557	-8.708	NA	NA	2017-08-15	NA	habitation	NA	no picture	NA	citizen	Agiir	NA
